Year,Unemployment Year Average,Employment,Michigan Household Income,Michigan_PerCapita_Personal Income,Union membership percentage ,Union Coverage,Overall Homeless,Min Wage,House Price Index Aggregate,Manufacturing employmet,Labor Force Participation,Michigan GDP,Michigan Snap Benefit Recipient,Michigan Poverty Michigan,Michigan C02 Emissions
1999,3.69166666666667,4927417.75,66549,28695,21.5,22.5,,5.15,258.9,886408,68.6833333333333,337561.2,550000,9.7,198
2000,3.65,4974840.08333333,64046,30409,20.8,21.8,,5.15,274,811825,67.6083333333333,351572.7,605857.333333333,9.8,193.386985
2001,5.175,4855027.25,59788,30796,21.8,22.7,,5.15,285.935,753250,65.8583333333333,348529,663959.916666667,10.9,189.306638
2002,6.275,4702986.5,61618,30671,21.1,22,,5.15,295.6625,708958,65.5666666666666,362271.1,768659.25,11,188.600407
2003,7.175,4666543.5,56311,31327,21.9,23.1,,5.15,307.2675,688850,65.65,373839.3,866072.833333333,12.5,185.529124
2004,7.01666666666667,4704656.58333333,59205,32165,21.6,22.4,,5.15,317.4575,667733,65.7083333333333,381228.9,972144.166666667,13.1,187.719658
2005,6.78333333333333,4739339,60735,32877,20.5,21.4,,5.15,312.6425,638350,65.3583333333333,394229,1070209.75,13.5,189.985789
2006,7.00833333333333,4720481.5,59938,33729,19.6,20.4,,6.95,299.555,607783,64.45,395451.025,1155083.41666667,13.9,178.848661
2007,7,4659968.33333333,58209,34792,19.5,20.6,28295,7.15,276.445,562933,63.3333333333333,403735.775,1214386.16666667,14.4,181.069296
2008,8.04166666666667,4526707.58333333,53961,35700,18.8,19.6,28248,7.4,256.2825,455158,63.1166666666666,386053.875,1282553.16666667,16.1,174.780052
2009,13.6083333333333,4237407.41666667,53411,34030,18.8,19.9,14005,7.4,238.755,466225,61.9916666666666,365591.725,1541592.16666667,16.7,163.747082
2010,12.575,4194640.83333333,54691,35391,16.5,17.3,13058,7.4,229.5375,501908,60.425,386625.9,1836499.66666667,17.5,164.508287
2011,10.3916666666667,4197922.5,54802,37512,17.5,18.3,13185,7.4,229.83,530517,59.9916666666666,401105.375,1914424.41666667,17.4,159.263905
2012,9.125,4247336.58333333,61076,39059,16.6,17.1,12592,7.4,244.11,548758,60.3666666666666,418857.4,1812869.91666667,17,152.494639
2013,8.78333333333333,4309820.83333333,55215,39361,16.2,16.8,11527,8.15,261.3875,574800,60.5666666666666,432717.55,1754181.58333333,16.2,161.246653
2014,7.23333333333333,4416627.41666667,57450,41147,14.5,15.6,12227,8.15,275.9975,591767,60.3666666666666,449127.725,1652176,15.7,161.227845
2015,5.40833333333333,4501514.91666667,59740,43533,15.2,16.5,10516,8.5,291.4625,605675,61.25,474301.375,1546851.58333333,14.9,161.441761
2016,4.99166666666667,4605759.91666667,57780,44868,14.5,15.5,9316,8.9,312.7475,616042,61.425,491774.2,1450349.66666667,14.1,151.381096
2017,4.60833333333333,4658823.66666667,60449,46258,15.6,16.8,9051,9.25,335.0075,628608,61.5583333333333,505561.175,1351853.58333333,14,152.719156
2018,4.15,4705083.58333333,63000,48423,14.5,15.3,8351,9.45,354.285,627392,61.7666666666666,527095.8,1300000,13.9,153
2019,4.09166666666667,4735161.83333333,66000,50000,14,14.5,78000,9.65,370,626000,62,541550.6,1250000,13.8,154
